x_S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.499345,0,0.516648,0
0.466938,0,0.411277,0
0.502125,0,0.475193,0
0.525347,0,0.527614,0
0.488722,0,0.505058,0
0.582024,0,0.578154,0
0.609161,0,0.650735,0
0.603593,0,0.611914,0
0.638253,0,0.715917,0
0.553647,0,0.515017,0
0.626139,0,0.615905,0
0.65008,0,0.687437,0
0.594071,0,0.572574,0
0.693956,0,0.719581,0
0.700901,0,0.718762,0
0.658655,0,0.656443,0
0.71994,0,0.751319,0
0.70083,0,0.740465,0
0.712245,0,0.74334,0
0.621163,0,0.613229,0
0.718082,0,0.732308,0
0.646469,0,0.655712,0
0.670533,0,0.673869,0
0.708441,0,0.723821,0
0.726175,0,0.756124,0
0.671995,0,0.677369,0
0.737275,0,0.759714,0
0.715413,0,0.715696,0
0.720998,0,0.755339,0
0.700093,0,0.712891,0
0.69137,0,0.689288,0
0.717563,0,0.721591,0
0.723787,0,0.739106,0
0.76295,0,0.801964,0
0.705477,0,0.738787,0
0.774123,0,0.814112,0
0.736691,0,0.759957,0
0.77272,0,0.796401,0
0.746286,0,0.774285,0
0.757583,0,0.792565,0
0.759425,0,0.788972,0
0.753501,0,0.779441,0
0.755937,0,0.781266,0
0.758026,0,0.791017,0
0.751404,0,0.775086,0
0.75534,0,0.793453,0
0.777219,0,0.829801,0
0.776028,0,0.826428,0
0.764205,0,0.781415,0
0.764187,0,0.807671,0
0.7835,0,0.831402,0
0.762727,0,0.811763,0
0.763635,0,0.796758,0
0.782972,0,0.825863,0
0.774607,0,0.805897,0
0.786923,0,0.832146,0
0.77871,0,0.822817,0
0.751805,0,0.772578,0
0.771014,0,0.816729,0
0.789893,0,0.842527,0
0.789298,0,0.825131,0
0.778946,0,0.819871,0
0.791499,0,0.825219,0
0.792005,0,0.84097,0
0.785239,0,0.853989,0
0.786727,0,0.83366,0
0.768989,0,0.787391,0
0.785861,0,0.845054,0
0.790225,0,0.836339,0
0.790968,0,0.840604,0
0.783839,0,0.830414,0
0.786708,0,0.816583,0
0.77928,0,0.814817,0
0.797911,0,0.850294,0
0.78926,0,0.845809,0
0.780169,0,0.809864,0
0.787074,0,0.830993,0
0.792272,0,0.828508,0
0.799228,0,0.852049,0
0.794689,0,0.837611,0
0.802452,0,0.856787,0
0.794035,0,0.8378,0
0.792677,0,0.83185,0
0.800335,0,0.858636,0
0.797054,0,0.838017,0
0.804629,0,0.856563,0
0.802691,0,0.853127,0
0.797886,0,0.837021,0
0.802542,0,0.84689,0
0.803352,0,0.850708,0
