# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.432436,0.000000,0.382188,0.000000
0.527529,0.000000,0.409378,0.000000
0.146032,0.008475,0.113059,0.041980
-0.068821,0.216659,0.007515,0.892811
0.307874,0.000000,0.254561,0.000003
0.122483,0.027491,0.078464,0.158816
0.388137,0.000000,0.312051,0.000000
0.107418,0.053404,0.067982,0.222329
0.366413,0.000000,0.291978,0.000000
0.075319,0.176239,0.031903,0.567194
0.411074,0.000000,0.336944,0.000000
0.249695,0.000005,0.191859,0.000516
0.345161,0.000000,0.244035,0.000009
-0.024463,0.660883,-0.053024,0.341391
0.274030,0.000001,0.191292,0.000536
0.347111,0.000000,0.228070,0.000034
0.337159,0.000000,0.212193,0.000119
0.369483,0.000000,0.245039,0.000008
0.283800,0.000000,0.182076,0.000994
0.118690,0.032702,0.036877,0.508327
0.265436,0.000001,0.106686,0.055059
0.366547,0.000000,0.237123,0.000016
0.318992,0.000000,0.209218,0.000149
0.440827,0.000000,0.347833,0.000000
0.243368,0.000009,0.152468,0.005961
0.294306,0.000000,0.180646,0.001091
0.345855,0.000000,0.200950,0.000272
0.275890,0.000000,0.183056,0.000932
0.377776,0.000000,0.288127,0.000000
0.196562,0.000372,0.115679,0.037419
0.305441,0.000000,0.223064,0.000051
0.330536,0.000000,0.246802,0.000007
0.227860,0.000035,0.129843,0.019385
0.282511,0.000000,0.170219,0.002108
0.355126,0.000000,0.278184,0.000000
0.181880,0.001007,0.093955,0.091337
-0.047831,0.390823,-0.103931,0.061680
0.228726,0.000032,0.108736,0.050526
0.329772,0.000000,0.262039,0.000002
0.322669,0.000000,0.201564,0.000261
0.246705,0.000007,0.230681,0.000028
0.248319,0.000006,0.182983,0.000936
0.369815,0.000000,0.291992,0.000000
0.212185,0.000119,0.129624,0.019592
0.337812,0.000000,0.224513,0.000045
0.031642,0.570374,0.005134,0.926656
0.151898,0.006153,0.124098,0.025499
0.193257,0.000468,0.143029,0.009942
0.228798,0.000032,0.155319,0.005079
0.287231,0.000000,0.175710,0.001497
0.241509,0.000011,0.140934,0.011095
0.257786,0.000003,0.208973,0.000151
0.159359,0.004030,0.120424,0.030223
0.328337,0.000000,0.249586,0.000005
0.228442,0.000033,0.132609,0.016926
0.122567,0.027384,0.078140,0.160548
0.229590,0.000030,0.153045,0.005772
0.127282,0.021931,0.117294,0.034821
0.165777,0.002761,0.108793,0.050404
0.185675,0.000784,0.132547,0.016979
0.151312,0.006356,0.129485,0.019725
0.140699,0.011232,0.103187,0.063576
0.239763,0.000013,0.142653,0.010141
0.177009,0.001378,0.128098,0.021091
0.210700,0.000133,0.167992,0.002415
0.188211,0.000661,0.143211,0.009847
0.239671,0.000013,0.176502,0.001424
0.251903,0.000004,0.196718,0.000368
0.116674,0.035800,0.094574,0.089212
0.245686,0.000008,0.185679,0.000783
0.282515,0.000000,0.229639,0.000030
0.178457,0.001256,0.140988,0.011064
0.277026,0.000000,0.244870,0.000008
0.216155,0.000088,0.198192,0.000332
0.251254,0.000005,0.185709,0.000782
0.273146,0.000001,0.207266,0.000172
0.250690,0.000005,0.195296,0.000406
0.277941,0.000000,0.211316,0.000127
0.236231,0.000017,0.191127,0.000542
0.243960,0.000009,0.183753,0.000890
0.220601,0.000062,0.171330,0.001969
0.316737,0.000000,0.244451,0.000009
0.236057,0.000018,0.186274,0.000753
0.246565,0.000007,0.205914,0.000190
0.270447,0.000001,0.196438,0.000375
0.211895,0.000121,0.159155,0.004078
0.215493,0.000092,0.172639,0.001815
0.254949,0.000003,0.203919,0.000220
0.237876,0.000015,0.185668,0.000784
0.238589,0.000014,0.183929,0.000880
