x_S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.40214,0,0.432096,0
0.410775,0,0.451936,0
0.38593,0,0.430095,0
0.43295,0,0.442813,0
0.38101,0,0.389432,0
0.471622,0,0.50677,0
0.475243,0,0.482037,0
0.47845,0,0.494179,0
0.490548,0,0.525797,0
0.480716,0,0.507812,0
0.509446,0,0.515996,0
0.527653,0,0.541723,0
0.500485,0,0.490682,0
0.557623,0,0.577842,0
0.552257,0,0.563364,0
0.620848,0,0.63862,0
0.588522,0,0.597718,0
0.633634,0,0.632681,0
0.579992,0,0.562744,0
0.643331,0,0.658241,0
0.669372,0,0.669288,0
0.641217,0,0.667668,0
0.664959,0,0.643471,0
0.636426,0,0.634811,0
0.700539,0,0.736213,0
0.677419,0,0.682107,0
0.697897,0,0.7224,0
0.723372,0,0.731904,0
0.718532,0,0.718793,0
0.698117,0,0.703296,0
0.7234,0,0.720209,0
0.719337,0,0.718836,0
0.733294,0,0.750284,0
0.749263,0,0.762516,0
0.755194,0,0.779427,0
0.70543,0,0.700015,0
0.782687,0,0.803149,0
0.782836,0,0.80264,0
0.798516,0,0.816574,0
0.779159,0,0.792944,0
0.764158,0,0.776901,0
0.781634,0,0.792592,0
0.797343,0,0.817555,0
0.78818,0,0.811286,0
0.780195,0,0.783592,0
0.800374,0,0.81194,0
0.794136,0,0.815416,0
0.79519,0,0.810183,0
0.771826,0,0.790654,0
0.776685,0,0.801369,0
0.810013,0,0.826702,0
0.802473,0,0.818302,0
0.793481,0,0.808562,0
0.791714,0,0.814792,0
0.79984,0,0.816003,0
0.805377,0,0.819556,0
0.807533,0,0.834816,0
0.795128,0,0.81418,0
0.809711,0,0.833819,0
0.823956,0,0.846096,0
0.813614,0,0.832324,0
0.828943,0,0.850392,0
0.817002,0,0.83491,0
0.830238,0,0.847044,0
0.820414,0,0.842888,0
0.827726,0,0.850542,0
0.821126,0,0.848011,0
0.839392,0,0.866391,0
0.829495,0,0.848167,0
0.82949,0,0.844715,0
0.833332,0,0.853866,0
0.830772,0,0.843525,0
0.837229,0,0.862307,0
0.833266,0,0.854604,0
0.833895,0,0.858694,0
0.822635,0,0.845264,0
0.836963,0,0.859314,0
0.830505,0,0.851742,0
0.839632,0,0.861231,0
0.839037,0,0.86467,0
0.836332,0,0.860041,0
0.845959,0,0.868585,0
0.844921,0,0.866534,0
0.840167,0,0.864115,0
0.839774,0,0.86083,0
0.838548,0,0.859917,0
0.837456,0,0.858164,0
0.840955,0,0.861281,0
0.842364,0,0.864588,0
0.842145,0,0.864009,0
