x_S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.527197,0,0.460088,0
0.496698,0,0.433965,0
0.528021,0,0.440174,0
0.540816,0,0.494323,0
0.530129,0,0.475598,0
0.533338,0,0.501463,0
0.577512,0,0.503959,0
0.596853,0,0.529899,0
0.519798,0,0.462786,0
0.574842,0,0.513247,0
0.594495,0,0.520256,0
0.654927,0,0.61793,0
0.619249,0,0.579024,0
0.650551,0,0.599368,0
0.670525,0,0.635694,0
0.669776,0,0.629434,0
0.669105,0,0.610299,0
0.6866,0,0.648583,0
0.667244,0,0.633001,0
0.67557,0,0.618938,0
0.713941,0,0.679687,0
0.684914,0,0.634446,0
0.71165,0,0.676946,0
0.715026,0,0.675861,0
0.724032,0,0.687987,0
0.724114,0,0.696008,0
0.730792,0,0.694311,0
0.73439,0,0.70714,0
0.729293,0,0.701855,0
0.741704,0,0.708321,0
0.756337,0,0.728202,0
0.738175,0,0.703766,0
0.741217,0,0.717982,0
0.762342,0,0.735985,0
0.755241,0,0.727858,0
0.75757,0,0.739789,0
0.768599,0,0.745348,0
0.766286,0,0.745361,0
0.767951,0,0.741024,0
0.759604,0,0.742258,0
0.764039,0,0.74998,0
0.785078,0,0.773764,0
0.738413,0,0.718549,0
0.783928,0,0.765309,0
0.782984,0,0.767331,0
0.794337,0,0.773726,0
0.805059,0,0.788082,0
0.769693,0,0.765832,0
0.770409,0,0.756873,0
0.774067,0,0.771081,0
0.787837,0,0.779475,0
0.796365,0,0.787713,0
0.808719,0,0.787746,0
0.813211,0,0.805258,0
0.810633,0,0.797261,0
0.823314,0,0.811709,0
0.810803,0,0.797242,0
0.805868,0,0.800471,0
0.818619,0,0.813137,0
0.815226,0,0.811515,0
0.815369,0,0.801066,0
0.809621,0,0.801922,0
0.824693,0,0.822285,0
0.82951,0,0.828122,0
0.820138,0,0.806443,0
0.827627,0,0.826453,0
0.82643,0,0.825056,0
0.836715,0,0.8362,0
0.838313,0,0.833303,0
0.83509,0,0.830646,0
0.838528,0,0.836395,0
0.82092,0,0.818037,0
0.822314,0,0.827729,0
0.824916,0,0.830635,0
0.822199,0,0.828979,0
0.836953,0,0.837352,0
0.823501,0,0.827008,0
0.844925,0,0.844537,0
0.844705,0,0.843665,0
0.840898,0,0.841945,0
0.841792,0,0.839896,0
0.841534,0,0.838095,0
0.841441,0,0.846408,0
0.847132,0,0.846989,0
0.837717,0,0.83908,0
0.842637,0,0.845677,0
0.845431,0,0.849871,0
0.846308,0,0.843039,0
0.849531,0,0.848353,0
0.850178,0,0.850191,0
