# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.642490,0.000000,0.477679,0.000000
0.649838,0.000000,0.445005,0.000000
0.646557,0.000000,0.452021,0.000000
0.647533,0.000000,0.458855,0.000000
0.651704,0.000000,0.467545,0.000000
0.655516,0.000000,0.454003,0.000000
0.661250,0.000000,0.462657,0.000000
0.642035,0.000000,0.445282,0.000000
0.658374,0.000000,0.481632,0.000000
0.642602,0.000000,0.452756,0.000000
0.653391,0.000000,0.442382,0.000000
0.651897,0.000000,0.468321,0.000000
0.655026,0.000000,0.445285,0.000000
0.641367,0.000000,0.443113,0.000000
0.661253,0.000000,0.482617,0.000000
0.619807,0.000000,0.414469,0.000000
0.656907,0.000000,0.466948,0.000000
0.637221,0.000000,0.420500,0.000000
0.659970,0.000000,0.445640,0.000000
0.651949,0.000000,0.456343,0.000000
0.648817,0.000000,0.438402,0.000000
0.636194,0.000000,0.433800,0.000000
0.651755,0.000000,0.444759,0.000000
0.630362,0.000000,0.431313,0.000000
0.645271,0.000000,0.444210,0.000000
0.639508,0.000000,0.447174,0.000000
0.643999,0.000000,0.426660,0.000000
0.661051,0.000000,0.468208,0.000000
0.650457,0.000000,0.450737,0.000000
0.650569,0.000000,0.453245,0.000000
