x_S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.532479,0,0.557326,0
0.545665,0,0.573927,0
0.576439,0,0.615182,0
0.505367,0,0.559827,0
0.500889,0,0.518164,0
0.56081,0,0.593604,0
0.608869,0,0.640056,0
0.604994,0,0.59063,0
0.566661,0,0.548906,0
0.547118,0,0.528761,0
0.59641,0,0.617941,0
0.628123,0,0.604215,0
0.619915,0,0.601932,0
0.603515,0,0.585028,0
0.664318,0,0.642253,0
0.66379,0,0.639984,0
0.61071,0,0.566458,0
0.632029,0,0.635813,0
0.628169,0,0.588877,0
0.579645,0,0.536301,0
0.644315,0,0.648472,0
0.677241,0,0.665603,0
0.650059,0,0.619891,0
0.655467,0,0.640676,0
0.662882,0,0.657961,0
0.683026,0,0.695159,0
0.653158,0,0.661659,0
0.673971,0,0.673224,0
0.591663,0,0.554052,0
0.672876,0,0.714553,0
0.674446,0,0.673388,0
0.696761,0,0.710488,0
0.681758,0,0.671565,0
0.68463,0,0.680399,0
0.705733,0,0.719523,0
0.700389,0,0.704901,0
0.684584,0,0.695242,0
0.701145,0,0.729329,0
0.689882,0,0.703516,0
0.706886,0,0.715373,0
0.698275,0,0.710543,0
0.714531,0,0.737799,0
0.698283,0,0.723134,0
0.705589,0,0.726389,0
0.688855,0,0.671944,0
0.679968,0,0.663442,0
0.711248,0,0.706042,0
0.667822,0,0.663582,0
0.712337,0,0.712003,0
0.702412,0,0.736115,0
0.709646,0,0.717633,0
0.715544,0,0.722431,0
0.721546,0,0.720017,0
0.691799,0,0.681634,0
0.718836,0,0.733284,0
0.700787,0,0.695651,0
0.703087,0,0.694724,0
0.725978,0,0.744964,0
0.728486,0,0.755984,0
0.690077,0,0.691013,0
0.715629,0,0.718047,0
0.70576,0,0.716768,0
0.705827,0,0.715428,0
0.709527,0,0.728742,0
0.717522,0,0.722837,0
0.729743,0,0.745988,0
0.729076,0,0.741121,0
0.69321,0,0.67568,0
0.732737,0,0.751746,0
0.726329,0,0.751137,0
0.741234,0,0.761371,0
0.686553,0,0.676053,0
0.703554,0,0.703818,0
0.743555,0,0.764488,0
0.735504,0,0.76087,0
0.72003,0,0.734271,0
0.721651,0,0.742259,0
0.726285,0,0.745098,0
0.715213,0,0.724926,0
0.737468,0,0.765077,0
0.736156,0,0.756211,0
0.717116,0,0.729323,0
0.73152,0,0.756397,0
0.733642,0,0.751177,0
0.736988,0,0.754898,0
0.726584,0,0.749938,0
0.73369,0,0.749518,0
0.726124,0,0.741673,0
0.730788,0,0.748931,0
0.735146,0,0.755286,0
