# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.237363,0.000016,0.228594,0.000033
0.248645,0.000006,0.224387,0.000046
0.275337,0.000000,0.252775,0.000004
0.290589,0.000000,0.292074,0.000000
0.319366,0.000000,0.309023,0.000000
0.307345,0.000000,0.304524,0.000000
0.304081,0.000000,0.289991,0.000000
0.303953,0.000000,0.291449,0.000000
0.315999,0.000000,0.315529,0.000000
0.304097,0.000000,0.295543,0.000000
0.320317,0.000000,0.311750,0.000000
0.324049,0.000000,0.317944,0.000000
0.314194,0.000000,0.290767,0.000000
0.326840,0.000000,0.307960,0.000000
0.313357,0.000000,0.272405,0.000001
0.314217,0.000000,0.297826,0.000000
0.318826,0.000000,0.305368,0.000000
0.322168,0.000000,0.314391,0.000000
0.320327,0.000000,0.315650,0.000000
0.313118,0.000000,0.306168,0.000000
0.311443,0.000000,0.293796,0.000000
0.313199,0.000000,0.299663,0.000000
0.319289,0.000000,0.297907,0.000000
0.324990,0.000000,0.305935,0.000000
0.318547,0.000000,0.296125,0.000000
0.333939,0.000000,0.316198,0.000000
0.327681,0.000000,0.309350,0.000000
0.349980,0.000000,0.335390,0.000000
0.342743,0.000000,0.332007,0.000000
0.338350,0.000000,0.328266,0.000000
