# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.373844,0.000000,0.319949,0.000000
0.327185,0.000000,0.173399,0.001731
0.387426,0.000000,0.296593,0.000000
0.384034,0.000000,0.308549,0.000000
0.377426,0.000000,0.282726,0.000000
0.061133,0.272570,0.075321,0.176228
0.379281,0.000000,0.295373,0.000000
0.326604,0.000000,0.178739,0.001234
0.360844,0.000000,0.283945,0.000000
0.107973,0.052175,0.114260,0.039834
0.309718,0.000000,0.235950,0.000018
0.407281,0.000000,0.318989,0.000000
0.122352,0.027658,0.070447,0.205974
0.301034,0.000000,0.220544,0.000062
0.188133,0.000665,0.164058,0.003059
0.209003,0.000151,0.161074,0.003648
0.262042,0.000002,0.215233,0.000094
0.184137,0.000868,0.188998,0.000627
0.271488,0.000001,0.220552,0.000062
0.352988,0.000000,0.280451,0.000000
0.246611,0.000007,0.208926,0.000152
0.352617,0.000000,0.285203,0.000000
0.265633,0.000001,0.229835,0.000030
0.262947,0.000002,0.185651,0.000785
0.303997,0.000000,0.281963,0.000000
0.398393,0.000000,0.336212,0.000000
0.377757,0.000000,0.307320,0.000000
0.365770,0.000000,0.306541,0.000000
0.358205,0.000000,0.284855,0.000000
0.401300,0.000000,0.327676,0.000000
0.261069,0.000002,0.238654,0.000014
0.268311,0.000001,0.214691,0.000098
0.336119,0.000000,0.263831,0.000001
0.355726,0.000000,0.279923,0.000000
0.187609,0.000689,0.131674,0.017726
0.352228,0.000000,0.311235,0.000000
0.343560,0.000000,0.262684,0.000002
0.370605,0.000000,0.280423,0.000000
0.363187,0.000000,0.291044,0.000000
0.359291,0.000000,0.286924,0.000000
0.404842,0.000000,0.359484,0.000000
0.377296,0.000000,0.310144,0.000000
0.322386,0.000000,0.243678,0.000009
0.419048,0.000000,0.367849,0.000000
0.388357,0.000000,0.334032,0.000000
0.208905,0.000152,0.170423,0.002082
0.353385,0.000000,0.304014,0.000000
0.329300,0.000000,0.286201,0.000000
0.277349,0.000000,0.211594,0.000124
0.314663,0.000000,0.255345,0.000003
0.370283,0.000000,0.337008,0.000000
0.336518,0.000000,0.281278,0.000000
0.333229,0.000000,0.264595,0.000001
0.376699,0.000000,0.322420,0.000000
0.325051,0.000000,0.271130,0.000001
0.353849,0.000000,0.288559,0.000000
0.406184,0.000000,0.328185,0.000000
0.357334,0.000000,0.277225,0.000000
0.384784,0.000000,0.317469,0.000000
0.357922,0.000000,0.282858,0.000000
0.394119,0.000000,0.325918,0.000000
0.390912,0.000000,0.302550,0.000000
0.378814,0.000000,0.319596,0.000000
0.392366,0.000000,0.360430,0.000000
0.413659,0.000000,0.353178,0.000000
0.398914,0.000000,0.347341,0.000000
0.424222,0.000000,0.354729,0.000000
0.404924,0.000000,0.341727,0.000000
0.280083,0.000000,0.230515,0.000028
0.361751,0.000000,0.299797,0.000000
0.461680,0.000000,0.397609,0.000000
0.391679,0.000000,0.345123,0.000000
0.342298,0.000000,0.272918,0.000001
0.447056,0.000000,0.392694,0.000000
0.404555,0.000000,0.348933,0.000000
0.445111,0.000000,0.382658,0.000000
0.397179,0.000000,0.348622,0.000000
0.440214,0.000000,0.375756,0.000000
0.443047,0.000000,0.382580,0.000000
0.412356,0.000000,0.357232,0.000000
0.392011,0.000000,0.330624,0.000000
0.468319,0.000000,0.403170,0.000000
0.404456,0.000000,0.345128,0.000000
0.395178,0.000000,0.343291,0.000000
0.413405,0.000000,0.355957,0.000000
0.404925,0.000000,0.351011,0.000000
0.427811,0.000000,0.370818,0.000000
0.386204,0.000000,0.327054,0.000000
0.431150,0.000000,0.366962,0.000000
0.430122,0.000000,0.369174,0.000000
