# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.210451,0.000135,0.271605,0.000001
0.176118,0.001459,0.226787,0.000038
0.162009,0.003453,0.209504,0.000145
0.220758,0.000061,0.227361,0.000036
0.220538,0.000062,0.231106,0.000027
0.237693,0.000015,0.270996,0.000001
0.224662,0.000045,0.275445,0.000000
0.293507,0.000000,0.316931,0.000000
0.231192,0.000026,0.272130,0.000001
0.252674,0.000004,0.283672,0.000000
0.227302,0.000036,0.248311,0.000006
0.198682,0.000320,0.219559,0.000067
0.109237,0.049466,0.119279,0.031842
0.202542,0.000243,0.217331,0.000080
0.253630,0.000004,0.254717,0.000003
0.262943,0.000002,0.263648,0.000001
0.272430,0.000001,0.275843,0.000000
0.248976,0.000006,0.253911,0.000004
0.242122,0.000010,0.240483,0.000012
0.251323,0.000005,0.234631,0.000020
0.256935,0.000003,0.259348,0.000002
0.203359,0.000229,0.219960,0.000065
0.246551,0.000007,0.245459,0.000008
0.257617,0.000003,0.263172,0.000002
0.259564,0.000002,0.258558,0.000002
0.195050,0.000414,0.193678,0.000455
0.262008,0.000002,0.265690,0.000001
0.248049,0.000006,0.251343,0.000005
0.287872,0.000000,0.275193,0.000000
0.226263,0.000039,0.223358,0.000050
0.251957,0.000004,0.252661,0.000004
0.281641,0.000000,0.268963,0.000001
0.281079,0.000000,0.279245,0.000000
0.296577,0.000000,0.288459,0.000000
0.296106,0.000000,0.299933,0.000000
0.313816,0.000000,0.306647,0.000000
0.265684,0.000001,0.264414,0.000001
0.290206,0.000000,0.280501,0.000000
0.325776,0.000000,0.312828,0.000000
0.326895,0.000000,0.315281,0.000000
0.314664,0.000000,0.296848,0.000000
0.323503,0.000000,0.320027,0.000000
0.309220,0.000000,0.305974,0.000000
0.327556,0.000000,0.317126,0.000000
0.315651,0.000000,0.302237,0.000000
0.333546,0.000000,0.321370,0.000000
0.298906,0.000000,0.285439,0.000000
0.342661,0.000000,0.332776,0.000000
0.319793,0.000000,0.315282,0.000000
0.356245,0.000000,0.348031,0.000000
0.360130,0.000000,0.361685,0.000000
0.340012,0.000000,0.322609,0.000000
0.340125,0.000000,0.331315,0.000000
0.307532,0.000000,0.303639,0.000000
0.335963,0.000000,0.328990,0.000000
0.367282,0.000000,0.363265,0.000000
0.336879,0.000000,0.333086,0.000000
0.360199,0.000000,0.348638,0.000000
0.336670,0.000000,0.336724,0.000000
0.335847,0.000000,0.328937,0.000000
0.363502,0.000000,0.350218,0.000000
0.330404,0.000000,0.325819,0.000000
0.342752,0.000000,0.336396,0.000000
0.357817,0.000000,0.356203,0.000000
0.376806,0.000000,0.362533,0.000000
0.364821,0.000000,0.362728,0.000000
0.383997,0.000000,0.384571,0.000000
0.366348,0.000000,0.360489,0.000000
0.374692,0.000000,0.362007,0.000000
0.384763,0.000000,0.377060,0.000000
0.360662,0.000000,0.360516,0.000000
0.358113,0.000000,0.348044,0.000000
0.354004,0.000000,0.352321,0.000000
0.368594,0.000000,0.371221,0.000000
0.361701,0.000000,0.360137,0.000000
0.366570,0.000000,0.366775,0.000000
0.374424,0.000000,0.374350,0.000000
0.377918,0.000000,0.378475,0.000000
0.399056,0.000000,0.397440,0.000000
0.386911,0.000000,0.383261,0.000000
0.360097,0.000000,0.360793,0.000000
0.386363,0.000000,0.384213,0.000000
0.377509,0.000000,0.376665,0.000000
0.378542,0.000000,0.378190,0.000000
0.394170,0.000000,0.393172,0.000000
0.373898,0.000000,0.375355,0.000000
0.377823,0.000000,0.375488,0.000000
0.381757,0.000000,0.380113,0.000000
0.381490,0.000000,0.382083,0.000000
0.385632,0.000000,0.384853,0.000000
