# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.473845,0.000000,0.431267,0.000000
0.505808,0.000000,0.483455,0.000000
0.496908,0.000000,0.423749,0.000000
0.490259,0.000000,0.426084,0.000000
0.517739,0.000000,0.466851,0.000000
0.531521,0.000000,0.466281,0.000000
0.497622,0.000000,0.453923,0.000000
0.234808,0.000020,0.217917,0.000077
0.524456,0.000000,0.472386,0.000000
0.503960,0.000000,0.429342,0.000000
0.474360,0.000000,0.427999,0.000000
0.494513,0.000000,0.433811,0.000000
0.542884,0.000000,0.504797,0.000000
0.486025,0.000000,0.425176,0.000000
0.532099,0.000000,0.476252,0.000000
0.524900,0.000000,0.470264,0.000000
0.493954,0.000000,0.449702,0.000000
0.548047,0.000000,0.507140,0.000000
0.408786,0.000000,0.374085,0.000000
0.466681,0.000000,0.415772,0.000000
0.537554,0.000000,0.491504,0.000000
0.421299,0.000000,0.376951,0.000000
0.477989,0.000000,0.425064,0.000000
0.486046,0.000000,0.431915,0.000000
0.438158,0.000000,0.398204,0.000000
0.506900,0.000000,0.447088,0.000000
0.459595,0.000000,0.418168,0.000000
0.480946,0.000000,0.432037,0.000000
0.499404,0.000000,0.442870,0.000000
0.482945,0.000000,0.431053,0.000000
