x_S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.491066,0,0.412076,0
0.261377,5.8e-05,0.161464,0.06815
0.346146,0,0.236525,0.001421
0.357151,0,0.255063,0.000413
0.443148,0,0.388309,0
0.331254,0,0.246447,0.000744
0.314575,1e-06,0.277443,7.9e-05
0.431147,0,0.402614,0
0.44159,0,0.419981,0
0.3747,0,0.377241,0
0.409146,0,0.416128,0
0.487185,0,0.515246,0
0.393999,0,0.404738,0
0.542197,0,0.579256,0
0.505552,0,0.516234,0
0.535604,0,0.552454,0
0.520427,0,0.537985,0
0.521649,0,0.550416,0
0.534668,0,0.548276,0
0.444704,0,0.425645,0
0.486796,0,0.476161,0
0.502973,0,0.500529,0
0.528494,0,0.518726,0
0.496736,0,0.47155,0
0.513408,0,0.489834,0
0.490299,0,0.451753,0
0.475801,0,0.449296,0
0.495539,0,0.465197,0
0.544805,0,0.532887,0
0.52985,0,0.498169,0
0.506562,0,0.491261,0
0.551775,0,0.519439,0
0.483515,0,0.452135,0
0.463848,0,0.434583,0
0.531521,0,0.494572,0
0.480379,0,0.451082,0
0.572523,0,0.544936,0
0.579996,0,0.543374,0
0.524038,0,0.47912,0
0.49968,0,0.461882,0
0.573831,0,0.548628,0
0.526323,0,0.492848,0
0.544676,0,0.523644,0
0.555163,0,0.512886,0
0.550425,0,0.514499,0
0.520489,0,0.491341,0
0.543707,0,0.511788,0
0.48538,0,0.473251,0
0.56706,0,0.502911,0
0.564656,0,0.520655,0
0.605494,0,0.563776,0
0.579296,0,0.535974,0
0.606234,0,0.562377,0
0.562273,0,0.521391,0
0.551408,0,0.515374,0
0.580987,0,0.535543,0
0.568058,0,0.518151,0
0.554198,0,0.505572,0
0.558415,0,0.51764,0
0.565457,0,0.526035,0
0.57044,0,0.51263,0
0.560402,0,0.493405,0
0.603399,0,0.555663,0
0.577466,0,0.524397,0
0.631809,0,0.585974,0
0.616041,0,0.57377,0
0.609645,0,0.567685,0
0.611183,0,0.571546,0
0.543187,0,0.492977,0
0.633966,0,0.59456,0
0.641752,0,0.616094,0
0.645701,0,0.612364,0
0.652167,0,0.619287,0
0.642268,0,0.606697,0
0.654563,0,0.624414,0
0.590914,0,0.541282,0
0.637036,0,0.601053,0
0.660224,0,0.624155,0
0.623688,0,0.588574,0
0.6161,0,0.58003,0
0.560231,0,0.51494,0
0.593151,0,0.551471,0
0.614584,0,0.578267,0
0.617903,0,0.571573,0
0.624986,0,0.583008,0
0.629927,0,0.58613,0
0.618957,0,0.573098,0
0.615737,0,0.576168,0
0.639469,0,0.608331,0
0.623364,0,0.586255,0
