x_S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.572832,0,0.52926,0
0.576831,0,0.534001,0
0.614572,0,0.570316,0
0.665654,0,0.62356,0
0.414069,0,0.495399,0
0.575236,0,0.615015,0
0.682712,0,0.693745,0
0.730294,0,0.726262,0
0.733408,0,0.713896,0
0.69996,0,0.679304,0
0.529186,0,0.588595,0
0.756192,0,0.740724,0
0.754245,0,0.740172,0
0.738494,0,0.775348,0
0.755021,0,0.733595,0
0.784536,0,0.793423,0
0.783261,0,0.783323,0
0.748296,0,0.755852,0
0.640092,0,0.6707,0
0.78188,0,0.777945,0
0.790947,0,0.807039,0
0.766872,0,0.751306,0
0.780912,0,0.81997,0
0.760792,0,0.754619,0
0.754964,0,0.765488,0
0.789866,0,0.790169,0
0.750576,0,0.77106,0
0.790448,0,0.804296,0
0.758268,0,0.785839,0
0.793814,0,0.816128,0
0.768594,0,0.779778,0
0.717689,0,0.768198,0
0.766016,0,0.769293,0
0.73393,0,0.745321,0
0.776629,0,0.774078,0
0.783085,0,0.792021,0
0.78101,0,0.788894,0
0.77367,0,0.785134,0
0.763658,0,0.7934,0
0.720596,0,0.731621,0
0.766138,0,0.778594,0
0.773235,0,0.803565,0
0.758836,0,0.787033,0
0.779426,0,0.81872,0
0.753422,0,0.785744,0
0.768302,0,0.780994,0
0.768604,0,0.794248,0
0.774801,0,0.808951,0
0.771826,0,0.804354,0
0.762011,0,0.803637,0
0.765194,0,0.796851,0
0.739184,0,0.773984,0
0.740801,0,0.778745,0
0.761777,0,0.789662,0
0.764078,0,0.80999,0
0.763929,0,0.801481,0
0.77535,0,0.806366,0
0.751478,0,0.787831,0
0.75937,0,0.815186,0
0.766859,0,0.794247,0
0.783861,0,0.827781,0
0.779105,0,0.806713,0
0.743347,0,0.774091,0
0.761387,0,0.79054,0
0.749633,0,0.796586,0
0.753561,0,0.777187,0
0.76445,0,0.787923,0
0.758261,0,0.803254,0
0.758749,0,0.800412,0
0.752351,0,0.788834,0
0.767165,0,0.808771,0
0.764387,0,0.793948,0
0.75429,0,0.785381,0
0.749769,0,0.783337,0
0.760113,0,0.788823,0
0.749049,0,0.782044,0
0.759147,0,0.793328,0
0.758713,0,0.792572,0
0.762289,0,0.789108,0
0.755868,0,0.786247,0
0.760869,0,0.798479,0
0.764334,0,0.797703,0
0.7661,0,0.800291,0
0.764199,0,0.791727,0
0.761528,0,0.792176,0
0.754179,0,0.788861,0
0.759469,0,0.79209,0
0.758333,0,0.788641,0
0.758124,0,0.791236,0
0.756723,0,0.789401,0
