x_S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.482901,0,0.445048,0
0.297821,6e-06,0.195861,0.014389
0.482865,0,0.464535,0
0.495201,0,0.459602,0
0.530563,0,0.520804,0
0.487051,0,0.499817,0
0.472968,0,0.495289,0
0.519248,0,0.503532,0
0.491511,0,0.583355,0
0.542657,0,0.589228,0
0.586402,0,0.562823,0
0.567659,0,0.614446,0
0.622934,0,0.577162,0
0.610362,0,0.614816,0
0.606126,0,0.611409,0
0.607935,0,0.629439,0
0.636662,0,0.627822,0
0.630643,0,0.627648,0
0.641894,0,0.635638,0
0.631925,0,0.585898,0
0.482036,0,0.383554,0
0.682339,0,0.613463,0
0.67017,0,0.646618,0
0.659065,0,0.575038,0
0.682978,0,0.654653,0
0.679627,0,0.669614,0
0.712018,0,0.668168,0
0.713782,0,0.674361,0
0.716322,0,0.692162,0
0.734675,0,0.69337,0
0.735669,0,0.683952,0
0.717378,0,0.668465,0
0.744215,0,0.699852,0
0.730916,0,0.696322,0
0.749761,0,0.697253,0
0.726708,0,0.679473,0
0.703252,0,0.667102,0
0.74964,0,0.721321,0
0.749795,0,0.709853,0
0.760668,0,0.736296,0
0.75309,0,0.717242,0
0.76,0,0.728394,0
0.769779,0,0.723422,0
0.769858,0,0.733577,0
0.763886,0,0.726461,0
0.750629,0,0.719677,0
0.751415,0,0.712568,0
0.731052,0,0.707704,0
0.772719,0,0.741778,0
0.770816,0,0.738468,0
0.758868,0,0.735682,0
0.767409,0,0.744413,0
0.769519,0,0.731149,0
0.775139,0,0.742709,0
0.774986,0,0.742807,0
0.774353,0,0.747054,0
0.788297,0,0.754237,0
0.781346,0,0.754722,0
0.777132,0,0.747239,0
0.778356,0,0.758065,0
0.779594,0,0.745211,0
0.792145,0,0.758644,0
0.7917,0,0.755392,0
0.790958,0,0.766108,0
0.786864,0,0.763028,0
0.77696,0,0.751677,0
0.765129,0,0.721536,0
0.793093,0,0.765693,0
0.801374,0,0.772236,0
0.7861,0,0.758284,0
0.792252,0,0.76381,0
0.801555,0,0.765495,0
0.808031,0,0.778746,0
0.799147,0,0.768316,0
0.794756,0,0.7702,0
0.807401,0,0.781802,0
0.806984,0,0.78897,0
0.806908,0,0.779871,0
0.804532,0,0.782963,0
0.801795,0,0.780943,0
0.813553,0,0.784914,0
0.810441,0,0.778481,0
0.81273,0,0.787717,0
0.814377,0,0.787864,0
0.81382,0,0.786384,0
0.815843,0,0.787612,0
0.817167,0,0.79093,0
0.820836,0,0.796263,0
0.81964,0,0.794538,0
0.81996,0,0.793263,0
