x_S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.459092,0,0.493062,0
0.433602,0,0.48086,0
0.452728,0,0.563047,0
0.65412,0,0.620716,0
0.450319,0,0.459244,0
0.568409,0,0.650237,0
0.684548,0,0.662728,0
0.655844,0,0.615636,0
0.702071,0,0.711345,0
0.710415,0,0.687687,0
0.70363,0,0.676657,0
0.711001,0,0.700785,0
0.71969,0,0.703189,0
0.737903,0,0.730409,0
0.635334,0,0.704807,0
0.777089,0,0.760753,0
0.776849,0,0.769844,0
0.779834,0,0.79956,0
0.747724,0,0.706649,0
0.698509,0,0.666569,0
0.776215,0,0.737092,0
0.798169,0,0.806535,0
0.801108,0,0.802439,0
0.803882,0,0.794695,0
0.805809,0,0.799639,0
0.780254,0,0.790972,0
0.797346,0,0.773895,0
0.808254,0,0.785056,0
0.816633,0,0.810211,0
0.740037,0,0.662307,0
0.820106,0,0.782165,0
0.827912,0,0.801441,0
0.804646,0,0.77822,0
0.81738,0,0.810995,0
0.827295,0,0.804899,0
0.797853,0,0.749091,0
0.823293,0,0.8376,0
0.828372,0,0.816444,0
0.826459,0,0.813475,0
0.836348,0,0.817893,0
0.835752,0,0.818328,0
0.835354,0,0.839379,0
0.827335,0,0.801207,0
0.825572,0,0.814211,0
0.835888,0,0.812605,0
0.828452,0,0.820683,0
0.836595,0,0.810686,0
0.79834,0,0.759898,0
0.815761,0,0.773648,0
0.84683,0,0.830242,0
0.845329,0,0.831067,0
0.846821,0,0.840273,0
0.829645,0,0.804462,0
0.827405,0,0.791168,0
0.797742,0,0.740871,0
0.804297,0,0.756164,0
0.84389,0,0.82833,0
0.848238,0,0.831982,0
0.83191,0,0.808419,0
0.836587,0,0.826004,0
0.832442,0,0.806447,0
0.847004,0,0.840171,0
0.852964,0,0.839696,0
0.851444,0,0.841812,0
0.857041,0,0.849605,0
0.841693,0,0.813632,0
0.856144,0,0.844767,0
0.846197,0,0.835436,0
0.840654,0,0.817277,0
0.850052,0,0.845517,0
0.853289,0,0.845648,0
0.852769,0,0.844972,0
0.852551,0,0.83508,0
0.857482,0,0.847247,0
0.84801,0,0.835479,0
0.852753,0,0.842064,0
0.840683,0,0.816021,0
0.838632,0,0.809727,0
0.848314,0,0.829337,0
0.85805,0,0.842487,0
0.843934,0,0.814843,0
0.859542,0,0.847963,0
0.859692,0,0.853386,0
0.857985,0,0.847982,0
0.861529,0,0.851505,0
0.85351,0,0.835012,0
0.860221,0,0.850313,0
0.858206,0,0.845109,0
0.858951,0,0.845398,0
0.857131,0,0.843457,0
