# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.055881,0.315983,0.081077,0.145352
0.068271,0.220365,0.100078,0.072024
0.079747,0.152093,0.093365,0.093397
0.104304,0.060746,0.090019,0.105801
0.094014,0.091132,0.105513,0.057802
0.093169,0.094089,0.104440,0.060410
0.108078,0.051945,0.131438,0.017932
0.114321,0.039727,0.116532,0.036028
0.080315,0.149188,0.088984,0.109889
0.101349,0.068467,0.123776,0.025886
0.094133,0.090720,0.091186,0.101335
0.102418,0.065586,0.103059,0.063907
0.106785,0.054833,0.094514,0.089417
0.101623,0.067718,0.089328,0.108517
0.095104,0.087427,0.092781,0.095475
0.100960,0.069540,0.104852,0.059397
0.102334,0.065809,0.099811,0.072792
0.106833,0.054723,0.106826,0.054739
0.098959,0.075282,0.108344,0.051369
0.116751,0.035677,0.116955,0.035354
0.100159,0.071794,0.091026,0.101936
0.117338,0.034753,0.105869,0.056959
0.098466,0.076754,0.107551,0.053108
0.093195,0.093999,0.102686,0.064878
0.123640,0.026050,0.110442,0.046994
0.116385,0.036264,0.102975,0.064126
0.110609,0.046660,0.107507,0.053206
0.119641,0.031322,0.106575,0.055314
0.118012,0.033718,0.110129,0.047627
0.127207,0.022010,0.113405,0.041351
