# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.376806,0.000000,0.374809,0.000000
0.568288,0.000000,0.554484,0.000000
0.577584,0.000000,0.531720,0.000000
0.531580,0.000000,0.513590,0.000000
0.206131,0.000187,0.159159,0.004077
0.593769,0.000000,0.544044,0.000000
0.533129,0.000000,0.483844,0.000000
0.546305,0.000000,0.507400,0.000000
0.608906,0.000000,0.561849,0.000000
0.146770,0.008145,0.117630,0.034302
0.551743,0.000000,0.511777,0.000000
0.516982,0.000000,0.480302,0.000000
0.527794,0.000000,0.493848,0.000000
0.257733,0.000003,0.240583,0.000012
0.311702,0.000000,0.288889,0.000000
0.469746,0.000000,0.440670,0.000000
0.390926,0.000000,0.364129,0.000000
0.355165,0.000000,0.325358,0.000000
0.529110,0.000000,0.483837,0.000000
0.493922,0.000000,0.462610,0.000000
0.442546,0.000000,0.412970,0.000000
0.455008,0.000000,0.429082,0.000000
0.541546,0.000000,0.492555,0.000000
0.367615,0.000000,0.332263,0.000000
0.351570,0.000000,0.340254,0.000000
0.409404,0.000000,0.375480,0.000000
0.433202,0.000000,0.397304,0.000000
0.440223,0.000000,0.401711,0.000000
0.428293,0.000000,0.396380,0.000000
0.436429,0.000000,0.406477,0.000000
