x_S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.51318,0,0.510475,0
0.506617,0,0.484214,0
0.607206,0,0.65359,0
0.59887,0,0.645078,0
0.552869,0,0.582479,0
0.639519,0,0.641421,0
0.673704,0,0.677129,0
0.55924,0,0.557744,0
0.652148,0,0.647028,0
0.663306,0,0.665324,0
0.673647,0,0.695702,0
0.669504,0,0.658714,0
0.655408,0,0.646445,0
0.674014,0,0.669119,0
0.669488,0,0.676457,0
0.679786,0,0.680495,0
0.684671,0,0.700938,0
0.697436,0,0.704855,0
0.699471,0,0.749542,0
0.710227,0,0.724782,0
0.677471,0,0.694882,0
0.65758,0,0.627457,0
0.701059,0,0.720136,0
0.710649,0,0.731429,0
0.693828,0,0.703487,0
0.692774,0,0.697298,0
0.723082,0,0.762482,0
0.734095,0,0.784998,0
0.722052,0,0.756069,0
0.716897,0,0.758735,0
0.725393,0,0.764454,0
0.732965,0,0.773667,0
0.724225,0,0.76635,0
0.727421,0,0.78707,0
0.727719,0,0.773106,0
0.70745,0,0.757302,0
0.73095,0,0.788011,0
0.739159,0,0.783454,0
0.715808,0,0.751833,0
0.727709,0,0.772478,0
0.726095,0,0.767632,0
0.70973,0,0.758696,0
0.742834,0,0.767764,0
0.706086,0,0.7492,0
0.734857,0,0.795165,0
0.728926,0,0.768307,0
0.709377,0,0.764011,0
0.718544,0,0.791509,0
0.703762,0,0.74372,0
0.743638,0,0.79231,0
0.743008,0,0.793593,0
0.74953,0,0.816541,0
0.711904,0,0.759133,0
0.745765,0,0.805615,0
0.734377,0,0.806651,0
0.7258,0,0.787748,0
0.725671,0,0.791066,0
0.699729,0,0.76332,0
0.732507,0,0.790861,0
0.730358,0,0.794751,0
0.745686,0,0.822664,0
0.731277,0,0.812437,0
0.701066,0,0.755643,0
0.758646,0,0.837928,0
0.729279,0,0.799308,0
0.737922,0,0.81495,0
0.732613,0,0.805097,0
0.754882,0,0.827381,0
0.736704,0,0.814547,0
0.743056,0,0.822709,0
0.754397,0,0.828228,0
0.75646,0,0.835219,0
0.745883,0,0.826629,0
0.73919,0,0.817466,0
0.734364,0,0.808028,0
0.755605,0,0.823,0
0.745475,0,0.825264,0
0.75043,0,0.826656,0
0.748698,0,0.830009,0
0.737857,0,0.817989,0
0.743675,0,0.829169,0
0.7569,0,0.835375,0
0.755016,0,0.842264,0
0.758771,0,0.846464,0
0.742096,0,0.829469,0
0.758416,0,0.842981,0
0.755925,0,0.841644,0
0.754066,0,0.841198,0
0.760329,0,0.844618,0
0.758819,0,0.845981,0
